Id,Price
4567,163776.91538477785
5925,114588.61332759733
960,146291.53378460096
3848,129892.45905287103
746,196655.92701160497
868,316669.2527434698
672,126419.95946737018
2471,198389.3137568452
4510,114264.6904290834
8354,274143.8278350276
6393,177168.73305356037
13270,229036.64109245554
5250,365045.7393047299
16751,169645.97890546572
11404,130081.77181619528
10588,292881.56648876437
14925,183892.05229900454
6791,178068.3521171554
16097,187385.43844273928
16428,361267.8496756018
6945,341735.2471413054
3190,187113.90719053784
15709,413225.70132581674
13155,158808.4663244482
7675,188258.32800851035
14686,218114.4515077918
609,173300.96941797147
11155,150833.0679619318
10869,205959.7483822927
15742,184440.3821014658
9245,156687.14645773164
3340,174768.990473948
2359,270402.5211848146
8070,190522.12709799406
13707,108009.60180325745
16079,241107.2049391672
15937,249453.30110473395
14090,171032.11484523476
9008,212812.84252000178
16384,170056.3528319436
11657,239382.23937299626
13151,157522.63493727328
8990,150441.25016067826
11857,187797.6416547458
1565,176918.75778409682
8174,124407.45266611833
9247,245042.72172384514
10478,216911.5825047311
15509,145977.95766159016
8306,256155.63173138056
6642,170411.25527175464
7472,204671.96891941997
15989,132670.2417185185
13682,127158.59762034802
163,250252.02144367914
7076,178607.10753876792
7478,363139.85887425655
3029,189705.3391886431
1814,120233.55273146054
10057,129330.5634628566
15100,204429.83234636128
12694,212634.55921780708
6291,172825.1128347182
12603,197243.96179905333
3218,241509.8396602707
13456,132243.61263845148
10170,230071.49120752478
4530,150122.67253499225
13329,157788.4537543116
4820,142971.51380253572
10896,170836.4232655666
13416,113843.12925640756
2701,206037.66564120952
11265,356247.78031984606
9189,257023.22250072795
1858,174543.81127681115
14536,216565.65554122964
6199,318601.55099452886
14730,155680.6808730482
7510,260546.07574507635
15505,162416.54057731177
7446,195494.23812742322
14016,212597.52392499565
14113,109175.91259848066
8721,281184.8833929366
6193,336359.413191
5717,181775.24436864248
5427,288149.909230628
9520,480631.54017103143
6869,104215.19421968164
1658,154706.11031478844
6639,179792.20827179696
6283,188512.627317529
6257,121604.95167250758
15235,166878.27889819906
902,241338.9066315397
8932,196587.80139038077
16469,444818.20328194654
2825,226944.6228199901
6450,426307.6760517586
11366,180961.39321065226
3801,355431.42625228124
11385,185056.30403807864
1079,189370.84599764537
3202,241347.8804492794
676,218161.48826907578
6185,299799.8258554398
7730,164192.76095932853
2573,172098.91340534313
10978,162672.25043904534
10962,246499.20144804855
8870,187755.25801225242
8496,193500.15215248187
5517,165626.52698158327
927,187630.61621734098
13675,193301.90923929823
1499,218974.53938873328
15536,355211.3741609755
8602,378355.78201703413
12137,422384.85902591207
9865,255906.2829167826
16353,276655.92461753765
15908,219859.80497971125
3944,187866.40798513434
10359,204034.07511994385
15158,203288.0803498593
3259,263999.4081584757
7220,318251.6929085659
13843,200029.68730580647
16736,167404.39703019324
702,245794.0207371899
16401,166009.30566700085
12134,177214.60667550963
6918,213183.52123102115
11792,156810.15107591436
3798,162193.58947162385
10395,125298.01775926746
11099,123161.63734120097
7090,205719.06923939165
11260,199594.50509270237
9647,213309.36970188643
2903,407129.64401753806
2071,185049.16967949393
8604,188134.8428739005
9346,205187.64159693153
3945,203663.91380166262
3420,132961.1544665962
10842,129295.65384225122
725,162662.40004970017
13931,195474.46493448716
16330,209853.5235749305
9066,382598.7272499584
3326,315624.5129216358
1556,272842.4454889831
6579,101866.93226761697
13877,142317.23855471914
9857,336825.905739403
7302,272191.16919672495
5684,186832.4818638659
6513,234225.6638758884
11342,110987.86095418576
16561,231548.7440115656
6885,179620.77560055006
9308,183687.5877984618
2559,194489.601713809
6648,184707.6318221365
15260,170809.58895279147
5113,181905.1913284351
16492,183462.00299173358
12034,288401.10333368817
7248,203801.59897583709
2171,211897.4855713097
10594,159658.08671138386
13241,203693.5607549
7032,143757.9663738608
4884,169013.4409423624
903,207991.27434430513
162,168296.8150326268
6566,247588.85317543638
8249,117242.59048279746
13106,198178.7373516266
256,126758.59759607946
7976,158271.36605386366
8575,161463.2800746558
7591,260115.1448928256
3204,238696.42113278687
15804,184185.08621901597
1525,292478.2043383161
9038,168102.71080468278
13628,179372.85195526495
10016,219557.98608247685
10208,243516.5011648113
2008,189205.60967856122
13029,205365.8037088258
5099,130772.15299024146
9923,276944.18278369633
9461,115868.30217675587
11086,190527.8005588366
15057,282000.0481747182
10689,173390.20341411975
2053,211720.9084243611
16630,159656.54506393947
4985,157618.43378483524
13881,241150.75724576984
13225,197157.1165239943
5779,66949.75575032219
10262,179667.03366242338
10762,214353.52862191998
9513,206117.40999577995
11128,151926.15118749804
2074,307450.14103834546
933,193967.26621798988
2780,169827.72331634135
6594,108783.8475273316
15394,331753.76092158863
14863,145764.9301655217
6698,228624.1101395098
1611,243392.01121057145
174,185117.57639822434
5160,287158.6525213512
3295,305886.7170459557
4559,388305.14190581464
8254,176919.15506777324
10228,119805.33327618161
13924,134114.07726409155
15341,249469.63751797075
4353,167390.662334985
4334,68863.89722147798
1872,173581.5175521418
7823,182219.1333949058
310,140641.41533745144
3704,234464.40666664418
11615,313853.93741474533
6605,204447.0939289241
3381,182143.0461811804
2143,124216.83610667966
3191,252189.95046052587
13980,160573.5350361253
15613,173221.99906464724
10943,274258.4688630999
9654,118050.59804049027
16053,419977.8809314899
14931,226840.87274454362
8299,225142.80660604395
2147,174031.51638867904
11567,425699.0856390577
5905,130729.1684037731
11160,115794.87539730615
8275,122260.4020999006
16398,276630.6003909539
11229,180664.85513029105
10309,161827.23840864358
7340,223168.6532568249
7653,168426.64790766087
272,204697.69567775718
9831,234302.81291564793
5016,170056.24285452373
5968,72121.49197649788
796,238022.20230967805
12123,129181.58044591617
16629,179162.81388514262
2637,176592.91671392127
6194,216723.11770427835
6216,347655.78813064867
14346,168988.4649847537
6428,132883.02608580957
2891,244186.0604787198
84,178430.967710615
9260,204273.20632019534
15250,128444.09217537897
2348,183852.41634825466
10427,277978.85071377904
13230,249402.87454929628
1691,195881.28013953625
8803,128974.40471440785
5464,261764.36913189702
10559,113342.96807599995
16787,305356.57154336857
4278,158194.36493331712
6183,165981.65571495576
12775,160265.03173411314
10104,174391.81765912738
13663,178188.0841126829
9404,265878.93092144973
14724,208007.6124884351
10040,209137.55867061953
4646,192635.13868779526
4754,161393.84791468843
3310,218473.2897658721
2003,202032.84279322528
7312,144056.81264084505
10921,230556.84106798354
13419,285669.70497459726
10105,155623.3029411508
2196,426746.79947595927
12659,210189.49569397554
4380,227824.9771941683
10847,159733.0087595699
10805,282922.7828269744
8709,98930.4116427478
8319,178151.59577814568
2215,182818.49604978212
7000,196534.16944401272
7701,106208.4767822336
9678,189788.81619668644
14026,214880.5499829674
7971,170508.00515156717
13734,122815.62620783335
16483,203940.08922987914
6150,210969.50767002493
2931,273468.08366146823
5418,179717.7127540946
1662,508913.77579555364
2441,215188.1769216596
669,128475.23258956429
7734,191209.2395326256
6010,238540.32934958502
266,125355.73724887635
632,135527.13906812793
16221,103994.65191964684
11832,175556.33733780027
5035,132208.49049259193
